Time,Protocol,Length,Source,Destination,bad_packet
381.250052972,0,42,2,1,1
381.250064292,0,42,2,1,1
381.250071068,0,42,2,1,1
381.25007708,0,42,2,1,1
381.250082771,0,42,2,1,1
381.250093769,0,42,2,1,1
381.282373614,0,42,2,1,1
381.282406021,0,42,2,1,1
381.282417493,0,42,2,1,1
381.282422329,0,42,2,1,1
381.282430072,0,42,2,1,1
381.282434671,0,42,2,1,1
381.314070808,0,42,2,1,1
381.314095713,0,42,2,1,1
381.318094122,0,42,2,1,1
381.318111468,0,42,2,1,1
381.318120321,0,42,2,1,1
381.318124706,0,42,2,1,1
381.346029712,0,42,2,1,1
381.346056312,0,42,2,1,1
381.346062846,0,42,2,1,1
381.350150187,0,42,2,1,1
381.350169679,0,42,2,1,1
381.350174297,0,42,2,1,1
381.37803867,0,42,2,1,1
381.378071941,0,42,2,1,1
381.378084158,0,42,2,1,1
381.378091078,0,42,2,1,1
381.382080905,0,42,2,1,1
381.382107595,0,42,2,1,1
381.410207875,0,42,2,1,1
381.410350696,0,42,2,1,1
381.410415097,0,42,2,1,1
381.410454528,0,42,2,1,1
381.414040899,0,42,2,1,1
381.414069658,0,42,2,1,1
381.442108054,0,42,2,1,1
381.442236152,0,42,2,1,1
381.442305986,0,42,2,1,1
381.442372587,0,42,2,1,1
381.446031107,0,42,2,1,1
381.446064657,0,42,2,1,1
381.474052398,0,42,2,1,1
381.474079406,0,42,2,1,1
381.474089461,0,42,2,1,1
381.474093685,0,42,2,1,1
381.478034457,0,42,2,1,1
381.478071718,0,42,2,1,1
381.478081523,0,42,2,1,1
381.506075978,0,42,2,1,1
381.51006747,0,42,2,1,1
381.510116247,0,42,2,1,1
381.510120186,0,42,2,1,1
381.510125447,0,42,2,1,1
381.538044622,0,42,2,1,1
381.538077977,0,42,2,1,1
381.538089886,0,42,2,1,1
381.5381022,0,42,2,1,1
381.53812858,0,42,2,1,1
381.538136162,0,42,2,1,1
381.570036317,0,42,2,1,1
381.570059351,0,42,2,1,1
381.570070172,0,42,2,1,1
381.570092759,0,42,2,1,1
381.570137367,0,42,2,1,1
381.57409117,0,42,2,1,1
381.602035547,0,42,2,1,1
381.602077003,0,42,2,1,1
381.602088847,0,42,2,1,1
381.602096313,0,42,2,1,1
381.602104468,0,42,2,1,1
381.602111468,0,42,2,1,1
381.634035987,0,42,2,1,1
381.634060183,0,42,2,1,1
381.634072359,0,42,2,1,1
381.634082879,0,42,2,1,1
381.634091806,0,42,2,1,1
381.638183705,0,42,2,1,1
381.670047896,0,42,2,1,1
381.670120983,0,42,2,1,1
381.670129627,0,42,2,1,1
381.670135497,0,42,2,1,1
381.698126655,0,42,2,1,1
381.698252761,0,42,2,1,1
381.69830162,0,42,2,1,1
381.730080983,0,42,2,1,1
381.73012052,0,42,2,1,1
381.734031161,0,42,2,1,1
381.762112341,0,42,2,1,1
381.766063784,0,42,2,1,1
381.766108707,0,42,2,1,1
381.794111548,0,42,2,1,1
381.79429635,0,42,2,1,1
381.794319664,0,42,2,1,1
381.826081207,0,42,2,1,1
381.83003577,0,42,2,1,1
381.830065469,0,42,2,1,1
381.858030172,0,42,2,1,1
381.858056628,0,42,2,1,1
381.858069052,0,42,2,1,1
381.89031409,0,42,2,1,1
381.890341007,0,42,2,1,1
381.890366236,0,42,2,1,1
381.922216115,0,42,2,1,1
381.92224635,0,42,2,1,1
381.922287728,0,42,2,1,1
381.927939332,0,60,2,4,0
381.928117326,0,60,2,0,0
381.954040052,0,42,2,1,1
381.954087964,0,42,2,1,1
381.954102602,0,42,2,1,1
381.986078203,0,42,2,1,1
381.986177728,0,42,2,1,1
381.986202278,0,42,2,1,1
381.986219388,0,42,2,1,1
382.018027652,0,42,2,1,1
382.018041467,0,42,2,1,1
382.01804729,0,42,2,1,1
382.050063033,0,42,2,1,1
382.050138851,0,42,2,1,1
382.050249405,0,42,2,1,1
382.082189773,0,42,2,1,1
382.082221959,0,42,2,1,1
382.082234285,0,42,2,1,1
382.114158214,0,42,2,1,1
382.114227117,0,42,2,1,1
382.114243556,0,42,2,1,1
382.146036074,0,42,2,1,1
382.146064486,0,42,2,1,1
382.146074813,0,42,2,1,1
382.178034013,0,42,2,1,1
382.178072158,0,42,2,1,1
382.178077596,0,42,2,1,1
382.214050898,0,42,2,1,1
382.214080013,0,42,2,1,1
382.214091551,0,42,2,1,1
382.242035547,0,42,2,1,1
382.246143519,0,42,2,1,1
382.246179922,0,42,2,1,1
382.274222044,0,42,2,1,1
382.278035696,0,42,2,1,1
382.278114696,0,42,2,1,1
382.310046536,0,42,2,1,1
382.310075536,0,42,2,1,1
382.310080134,0,42,2,1,1
382.338047219,0,42,2,1,1
382.338081273,0,42,2,1,1
382.33808897,0,42,2,1,1
382.370108252,0,42,2,1,1
382.374278112,0,42,2,1,1
