No.,Time,Source,Destination,Protocol,Length,Info,Predicted_bad_packet,Time,Length,Num_MAC_Addresses
173.0,8.079548436,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,12.538199146,42.0,40.0
320.0,8.15667734,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,,,
339.0,8.358323116,HuaweiTechno_50:d7:d5,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.141,0,,,
340.0,8.383006342,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
342.0,8.486690821,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,,,
343.0,8.572086326,LiteonTechno_9c:e3:33,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.243.67,0,,,
344.0,8.672412217,HonHaiPrecis_e8:4c:a9,Broadcast,ARP,60.0,Who has 172.27.202.76? Tell 172.27.210.153,0,,,
346.0,8.957657634,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,,,
348.0,9.126509819,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,,,
349.0,9.133186798,Intel_0c:b4:e9,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.30.64,0,,,
350.0,9.180505119,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
352.0,9.24193227,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,,,
353.0,9.340009808,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,,,
354.0,9.376831251,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.25.134? Tell 172.27.29.60,0,,,
355.0,9.695954854,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,,,
356.0,9.727576389,32:dd:77:f9:d9:49,Broadcast,ARP,60.0,Gratuitous ARP for 172.27.25.226 (Reply),0,,,
357.0,9.835707138,HuaweiTechno_50:d7:d5,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.141,0,,,
358.0,9.995962825,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
359.0,10.096543132,Intel_0c:b4:e9,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.30.64,0,,,
360.0,10.123366168,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,,,
361.0,10.137317854,06:21:9c:71:21:a1,Broadcast,ARP,60.0,Gratuitous ARP for 172.27.29.115 (Reply),0,,,
362.0,10.137317991,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.25.134? Tell 172.27.29.60,0,,,
363.0,10.146166222,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,,,
368.0,10.385800293,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.29.60,0,,,
372.0,10.441686032,HuaweiTechno_50:d7:d5,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.141,0,,,
376.0,10.717472007,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
377.0,10.889199033,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,,,
384.0,11.082980627,Intel_0c:b4:e9,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.30.64,0,,,
385.0,11.120545468,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.25.134? Tell 172.27.29.60,0,,,
386.0,11.12054569,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.29.60,0,,,
388.0,11.174836363,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,,,
390.0,11.295176848,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,,,
391.0,11.456568582,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
392.0,11.48363772,HuaweiTechno_50:d7:d5,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.141,0,,,
393.0,11.588699809,96:56:c9:e2:25:61,Broadcast,ARP,60.0,Gratuitous ARP for 172.27.25.141 (Reply),0,,,
394.0,11.638747574,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,,,
395.0,11.646551565,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,,,
396.0,11.673094776,96:56:c9:e2:25:61,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.141,0,,,
399.0,11.861029623,HonHaiPrecis_e8:71:f9,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.148.191,0,,,
400.0,12.005336574,32:cf:84:af:24:02,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.24.230,0,,,
401.0,12.010997442,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.23.165,0,,,
402.0,12.095267239,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,,,
403.0,12.140292884,Intel_bd:3f:71,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.29.60,0,,,
404.0,12.196300479,vivoMobileCo_2f:bb:2f,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.19,0,,,
405.0,12.234710441,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,,,
406.0,12.27770195,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,,,
407.0,12.31256452,16:9f:0e:d2:fd:a1,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.24.87,0,,,
409.0,12.390243868,ee:05:de:d8:f6:9e,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.8,0,,,
412.0,12.538199146,vivoMobileCo_6f:3b:76,Broadcast,ARP,42.0,Who has 172.27.0.2? Tell 172.27.27.225,0,,,
413.0,12.61147541,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,,,
414.0,12.624543793,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.23.165,0,,,
415.0,12.672258768,HonHaiPrecis_e8:71:f9,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.148.191,0,,,
416.0,12.71646707,vivoMobileCo_8e:76:a6,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.29.109,0,,,
417.0,12.816485348,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,,,
419.0,12.85914694,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,,,
420.0,12.952254118,LiteonTechno_9c:e2:f8,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.4.78,0,,,
